UserId,DisplayName,UserName,Email,Chat_AICodeLines,Chat_MessagesInteracted,Chat_MessagesSent,CodeFix_AcceptanceEventCount,CodeFix_AcceptedLines,CodeFix_GeneratedLines,CodeFix_GenerationEventCount,CodeReview_FailedEventCount,CodeReview_FindingsCount,CodeReview_SucceededEventCount,Dev_AcceptanceEventCount,Dev_AcceptedLines,Dev_GeneratedLines,Dev_GenerationEventCount,DocGeneration_AcceptedFileUpdates,DocGeneration_AcceptedFilesCreations,DocGeneration_AcceptedLineAdditions,DocGeneration_AcceptedLineUpdates,DocGeneration_EventCount,DocGeneration_RejectedFileCreations,DocGeneration_RejectedFileUpdates,DocGeneration_RejectedLineAdditions,DocGeneration_RejectedLineUpdates,InlineChat_AcceptanceEventCount,InlineChat_AcceptedLineAdditions,InlineChat_AcceptedLineDeletions,InlineChat_DismissalEventCount,InlineChat_DismissedLineAdditions,InlineChat_DismissedLineDeletions,InlineChat_RejectedLineAdditions,InlineChat_RejectedLineDeletions,InlineChat_RejectionEventCount,InlineChat_TotalEventCount,Inline_AICodeLines,Inline_AcceptanceCount,Inline_SuggestionsCount,TestGeneration_AcceptedLines,TestGeneration_AcceptedTests,TestGeneration_EventCount,TestGeneration_GeneratedLines,TestGeneration_GeneratedTests,Transformation_EventCount,Transformation_LinesGenerated,Transformation_LinesIngested
000008291c163ec47e1346fbbd74f9c4,user018,user018,user018@gilsang.com,770,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,53,667,0,0,0,0,0,0,0,0
00000e7ee182b91b89fde27b532e971f,user010,user010,user010@gilsang.com,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,32,273,0,0,0,0,0,0,0,0
00000d1ee3127ad1a02dc4c22109eb6c,user037,user037,user037@gilsang.com,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,134,0,0,0,0,0,0,0,0
00000afc0c0b8e0a2b07abe5179c1bc6,user035,user035,user035@gilsang.com,4422,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0000089b8ed40867565200a50408ffcd,user038,user038,user038@gilsang.com,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,33,257,0,0,0,0,0,0,0,0
00000dec9a69a8c0cc260b5e4931307c,user046,user046,user046@gilsang.com,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,298,0,0,0,0,0,0,0,0
0000097d616e00edaed4c70c42fb3263,user002,user002,user002@gilsang.com,3524,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,116,0,0,0,0,0,0,0,0
000001f4109890ea42d25a166a5184a2,user016,user016,user016@gilsang.com,8640,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,111,458,0,0,0,0,0,0,0,0
000009537914d557ab0cae8383e19eca,user009,user009,user009@gilsang.com,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,36,0,0,0,0,0,0,0,0
0000025dd9062ac4dfda5d15b35fb459,user019,user019,user019@gilsang.com,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,239,0,0,0,0,0,0,0,0
